case_id,sample_id,cohort,analysis,event_family,outcome,variant,benchmark,representation,base_role,n_parent,n_complete,missing_excluded,temporal_cutoff,temporal_train_n,temporal_test_n,temporal_person_overlap_excluded,run_id,formulation,scale,analysis_role,validation,row_type,term,metric,estimate,ci_lower,ci_upper,n_evaluated,n_finite_model_predictions,bootstrap_successful,bootstrap_attempted,bootstrap_seed,status,interval_status,increment_definition
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,grouped_cv,model,M1,predictive_r2,0.2225086498954769,0.0334992313348442,0.3742599803941643,188,188,500,500,785705704,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,grouped_cv,model,M1,rmse,2.2152124551089876,1.9824155946425392,2.450695688778928,188,188,500,500,785705704,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,grouped_cv,model,M2,calibration_intercept,0.4055118428378321,-0.2366916380919951,1.0440263450358056,188,188,500,500,785705704,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,grouped_cv,model,M2,calibration_slope,0.8362265009325948,0.5539981114891372,1.121460628143756,188,188,500,500,785705704,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,grouped_cv,model,M2,mae,1.679453366508932,1.4784176164066654,1.872589379898918,188,188,500,500,785705704,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,grouped_cv,model,M2,mean_log_predictive_density,-2.2245997062713965,-2.359106154100104,-2.103123068551717,188,188,500,500,785705704,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,grouped_cv,model,M2,predictive_r2,0.2289132752453453,0.0344614657053079,0.3892912302355057,188,188,500,500,785705704,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,grouped_cv,model,M2,rmse,2.2060696237495248,1.964617280296041,2.4424559721131165,188,188,500,500,785705704,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,grouped_cv,model,M3,calibration_intercept,0.4437187751695184,-0.1571907718901495,1.091743429481452,188,188,500,500,785705704,estimated,500_paired_person_resamples,augmented_minus_baseline
multi_HRS_acute_nonoverlap__main__between_history_sd,multi_HRS_acute_nonoverlap,HRS,multi_event,multiple,acute,nonoverlap,main,between_history_sd,secondary,188,188,0,2016-05-15,137,51,0,68da483b5eda6e10,ancova_level,raw,secondary,grouped_cv,model,M3,calibration_slope,0.8206283006716785,0.5487616281980569,1.0792475215826864,188,188,500,500,785705704,estimated,500_paired_person_resamples,augmented_minus_baseline
