case_id,sample_id,cohort,analysis,event_family,outcome,variant,benchmark,representation,base_role,n_parent,n_complete,missing_excluded,temporal_cutoff,temporal_train_n,temporal_test_n,temporal_person_overlap_excluded,run_id,formulation,scale,analysis_role,validation,row_type,term,metric,estimate,ci_lower,ci_upper,n_evaluated,n_finite_model_predictions,bootstrap_successful,bootstrap_attempted,bootstrap_seed,status,interval_status,increment_definition
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,model,R1,predictive_r2,0.375194567733787,0.1730770770350469,0.5247533453868688,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,model,R1,rmse,1.7755891226857583,1.5192710559796847,2.043976723894776,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,model,R2,calibration_intercept,0.1227519834625703,-0.1949685922494903,0.4454521600379652,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,model,R2,calibration_slope,0.9325321773658471,0.7383571216476905,1.1057769603967358,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,model,R2,mae,1.273418707539927,1.091783690105185,1.465204930492641,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,model,R2,mean_log_predictive_density,-1.9755319165603136,-2.157329597247682,-1.8198223862453105,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,model,R2,predictive_r2,0.4123440828154679,0.2240836744615176,0.5460044055496461,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,model,R2,rmse,1.7219940012379913,1.4707797601293748,1.9730937551501964,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,model,R3,calibration_intercept,0.2104027654781364,-0.130383036561194,0.5348406472594522,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,model,R3,calibration_slope,0.8874362853850633,0.6784101634974188,1.071482426178794,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,model,R3,mae,1.3065463169562352,1.1141398620626737,1.5072964242931397,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,model,R3,mean_log_predictive_density,-2.017555235729849,-2.229221321121437,-1.8481498587403824,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,model,R3,predictive_r2,0.3751945677337869,0.1730770770350467,0.5247533453868688,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,model,R3,rmse,1.7755891226857587,1.5192710559796851,2.043976723894777,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,temporal,increment,R1-R0,calibration_intercept,0.0223463866761866,-0.0314799909634167,0.0943881723590454,45,45,500,500,2377948488,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,temporal,increment,R1-R0,calibration_slope,-0.0297906041454543,-0.122816315771351,0.0054885058442372,45,45,500,500,2377948488,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,temporal,increment,R1-R0,mae,0.0371060176824031,-0.0031515517354466,0.0791988145490968,45,45,500,500,2377948488,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,temporal,increment,R1-R0,mean_log_predictive_density,-0.0376927928633099,-0.0982110980438092,0.0129604732244558,45,45,500,500,2377948488,estimated,500_paired_person_resamples,augmented_minus_baseline
