display_row,panel,label,cohort,outcome,analysis_role,validation,estimate,ci_lower,ci_upper,n,source_file,source_row_0based,source_filter,source_estimate_column,source_n_column,source_ci_columns,unit,notes,contrast,representation,variant,event_family,n_complete,temporal_cutoff
1,acute Without current state,caregiving,HRS,acute,secondary,grouped_cv,-0.0603826950718091,-0.1193495291487151,-0.0105813014520041,164,source_data/analysis_outputs/NMH_registered_extension/02_within_domain_recurrence_results.csv,220,"{""analysis"": ""recurrence"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""edb26a313fc0fef1"", ""sample_id"": ""recurrence_HRS_caregiving_acute"", ""scale"": ""standardized"", ""term"": ""R1-R0"", ""validation"": ""grouped_cv""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,R1-R0,same_response,same_domain,caregiving,164,2014-06-15
2,acute After current state,caregiving,HRS,acute,secondary,grouped_cv,-0.0638172119552563,-0.1288242519366109,-0.0063269062121147,164,source_data/analysis_outputs/NMH_registered_extension/02_within_domain_recurrence_results.csv,226,"{""analysis"": ""recurrence"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""edb26a313fc0fef1"", ""sample_id"": ""recurrence_HRS_caregiving_acute"", ""scale"": ""standardized"", ""term"": ""R3-R2"", ""validation"": ""grouped_cv""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,R3-R2,same_response,same_domain,caregiving,164,2014-06-15
3,acute Without current state,caregiving,HRS,acute,secondary,temporal,-0.0260350743550219,-0.0782371643923681,0.0238989391350701,45,source_data/analysis_outputs/NMH_registered_extension/02_within_domain_recurrence_results.csv,256,"{""analysis"": ""recurrence"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""edb26a313fc0fef1"", ""sample_id"": ""recurrence_HRS_caregiving_acute"", ""scale"": ""standardized"", ""term"": ""R1-R0"", ""validation"": ""temporal""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,R1-R0,same_response,same_domain,caregiving,164,2014-06-15
4,acute After current state,caregiving,HRS,acute,secondary,temporal,-0.0425024835721901,-0.1238768987601358,0.0323100746202547,45,source_data/analysis_outputs/NMH_registered_extension/02_within_domain_recurrence_results.csv,262,"{""analysis"": ""recurrence"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""edb26a313fc0fef1"", ""sample_id"": ""recurrence_HRS_caregiving_acute"", ""scale"": ""standardized"", ""term"": ""R3-R2"", ""validation"": ""temporal""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,R3-R2,same_response,same_domain,caregiving,164,2014-06-15
5,persistence Without current state,caregiving,HRS,persistence,secondary,grouped_cv,-0.0119119983699447,-0.0401234143120938,0.0122425394519182,126,source_data/analysis_outputs/NMH_registered_extension/02_within_domain_recurrence_results.csv,508,"{""analysis"": ""recurrence"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""65ddc59cb66ec2f1"", ""sample_id"": ""recurrence_HRS_caregiving_persistence"", ""scale"": ""standardized"", ""term"": ""R1-R0"", ""validation"": ""grouped_cv""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,R1-R0,same_response,same_domain,caregiving,126,2014-06-15
6,persistence After current state,caregiving,HRS,persistence,secondary,grouped_cv,-0.0018118026558804,-0.025128402940421,0.0222813433511783,126,source_data/analysis_outputs/NMH_registered_extension/02_within_domain_recurrence_results.csv,514,"{""analysis"": ""recurrence"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""65ddc59cb66ec2f1"", ""sample_id"": ""recurrence_HRS_caregiving_persistence"", ""scale"": ""standardized"", ""term"": ""R3-R2"", ""validation"": ""grouped_cv""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,R3-R2,same_response,same_domain,caregiving,126,2014-06-15
7,persistence Without current state,caregiving,HRS,persistence,secondary,temporal,0.0379115622087187,0.0093524511922778,0.0914236446483176,33,source_data/analysis_outputs/NMH_registered_extension/02_within_domain_recurrence_results.csv,544,"{""analysis"": ""recurrence"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""65ddc59cb66ec2f1"", ""sample_id"": ""recurrence_HRS_caregiving_persistence"", ""scale"": ""standardized"", ""term"": ""R1-R0"", ""validation"": ""temporal""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,R1-R0,same_response,same_domain,caregiving,126,2014-06-15
8,persistence After current state,caregiving,HRS,persistence,secondary,temporal,0.0293270836866161,0.0032009271416461,0.083278397707689,33,source_data/analysis_outputs/NMH_registered_extension/02_within_domain_recurrence_results.csv,550,"{""analysis"": ""recurrence"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""65ddc59cb66ec2f1"", ""sample_id"": ""recurrence_HRS_caregiving_persistence"", ""scale"": ""standardized"", ""term"": ""R3-R2"", ""validation"": ""temporal""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,R3-R2,same_response,same_domain,caregiving,126,2014-06-15
9,acute Without current state,health,HRS,acute,secondary,grouped_cv,-0.017152801590935,-0.0458436185866104,0.0075379270350255,112,source_data/analysis_outputs/NMH_registered_extension/02_within_domain_recurrence_results.csv,796,"{""analysis"": ""recurrence"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""269b0ccde1e8bfb8"", ""sample_id"": ""recurrence_HRS_health_acute"", ""scale"": ""standardized"", ""term"": ""R1-R0"", ""validation"": ""grouped_cv""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,R1-R0,same_response,same_domain,health,112,2016-04-15
10,acute After current state,health,HRS,acute,secondary,grouped_cv,-0.0206590640890966,-0.0441885262351745,-0.0044857565920662,112,source_data/analysis_outputs/NMH_registered_extension/02_within_domain_recurrence_results.csv,802,"{""analysis"": ""recurrence"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""269b0ccde1e8bfb8"", ""sample_id"": ""recurrence_HRS_health_acute"", ""scale"": ""standardized"", ""term"": ""R3-R2"", ""validation"": ""grouped_cv""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,R3-R2,same_response,same_domain,health,112,2016-04-15
